Domaine,Sous-domaine,Reference,Annee,Type,Type_Methode_Scientifique,Paradigme,Niveau_Preuve,These_Principale,Mecanismes_Cles,Validite,Implications_Cognitorium
"Mémoire de travail & contrôle attentionnel","Contrôle attentionnel","Lee & Engle - Beyond Working Memory Capacity: Attention Control as Underlying Mechanism - Journal of Intelligence","2026","Revue de synthèse","Revue systématique narrative + modélisation à variables latentes","Cognitivisme / Executive attention framework","Élevé (synthèse de 6 domaines + méta-analyses latentes)","Le contrôle attentionnel explique l'essentiel du pouvoir prédictif de la capacité de mémoire de travail, pas le stockage","Maintien du but, suppression d'interférence, désengagement; AC médie WMC -> gF; r WMC-gF passe de 0.63 à 0.40 quand AC contrôlé","Validité de construit forte (tâches AC pures), validité externe via 6 domaines","Concevoir l'évaluation des compétences comme mesure de contrôle attentionnel, pas de stockage; tâches avec distracteurs"
"Mémoire de travail & contrôle attentionnel","Neurosciences de la cognition distribuée","Rosen & Freedman - Perspective - Nature Reviews Neuroscience (hypothèse basée sur recherche)","2025","Perspective / Revue","Synthèse neurophysiologique + électrophysiologie singe + fMRI humaine","Neurocognitif distribué","Modéré-Élevé (intégration multi-études)","Cognition distribuée dans réseaux d'ordre supérieur, pas aires sensorielles primaires; réseau s'élargit avec demande","Réseaux fronto-pariétal, recrutement moteur inattendu, représentations distribuées","Validité interne modérée (corrélationnelle neuro), externe élevée","Penser l'orientation comme activation de réseaux distribués, pas module isolé"
"Mémoire de travail & contrôle attentionnel","Tâche n-back","Huang et al. - Frontiers in Human Neuroscience","2025","Revue de synthèse","Analyse critique de paradigme + revue de mécanismes","Cognitivisme critique","Modéré (évaluation validité de construit)","n-back = mise à jour + maintien + contrôle attentionnel en parallèle; validité de construit faible à cause de stratégies","Chunking, familiarité, mise à jour, transferts proches vs lointains inconstants","Validité de construit faible, interne variable","Éviter n-back comme métrique unique; combiner mesures AC pures"
"Entraînement cognitif & plasticité","Transfert d'entraînement","Chen & Yan - Behavioral and Brain Functions","2025","Revue de synthèse","Revue + intégration modèles animaux et humains","Plasticité cérébrale / Apprentissage","Modéré (hétérogénéité humaine vs animal)","Pas de consensus transfert chez humain; schémas neuronaux abstraits médiateurs possibles; effet plafond chez humain","Schémas abstraits, plasticité, transfert proche vs lointain","Validité externe faible (transfert lointain), écologique modérée","Design d'entraînement basé sur schémas abstraits transférables, pas répétition isolée"
"Cognition 4E","Concepts incarnés / énatifs","Fuchs - The experiential basis of concepts - Frontiers in Psychology","2026","Article théorique","Théorique argumentatif + synthèse phénoménologique","Enactivisme / Embodied","Émergent-Théorique (forte cohérence interne, preuve empirique indirecte)","Concepts émergent de l'engagement corps-monde; abstraits par extension métaphorique; pas de coupure basse/haute cognition","Couplage sensorimoteur, métaphore corporelle, sens participatif, langage énactif","Validité écologique élevée, interne théorique","Compétences = patterns d'engagement corps-outils-environnement, pas états internes"
"Cognition 4E","4E inclusive & STEM","Frontiers in Education 2026 - Embodied cognition in STEM learning: integrative review","2026","Revue intégrative + méta-analyses","Revue systématique de revues + méta-analyses","4E pluraliste (grounded, enactive, extended, embedded)","Élevé (méta-analytique SMD=0.448 cognitif)","4 traditions 4E, 4 clusters mécanismes; effet modéré positif mais hétérogène; modérateurs clés","Représentation gestuelle, structuration perceptivo-spatiale, offloading cognitif, interaction sociale médiée","Validité externe modérée, modérateurs: âge, domaine, type d'incarnation","Alignement fonctionnel: incarnation doit remplacer, pas ajouter charge; design geste-contenu aligné"
"Cognition 4E","Statut de l'énactivisme","The exceptionality of enactivism within 4E cognition - Phenomenology and Cognitive Sciences","2026","Article théorique","Analyse philosophique critique","Enactivisme autopoïétique vs cognitivisme","Théorique (argument conceptuel)","Seul énactivisme autopoïétique rompt vraiment avec représentationnalisme/computationnalisme; autres E compatibles cognitivisme amendé","Autopoïèse, constructivisme radical, rejet réalisme cognitif","Validité conceptuelle","Choisir niveau de rupture souhaité: 4E pragmatique vs énactivisme radical pour Cognitorium"
"Attention spatiale","Attention covert & cortex visuel","Tünçok, Carrasco & Winawer - Nature Communications","2025","Article empirique majeur","Expérimental psychophysique + fMRI 7T + modélisation pRF","Neurocognitif / Attention","Élevé (expérimental contrôlé + neuroimagerie)","Attention spatiale covert modifie activité cortex visuel avant cible: baseline shift + déplacement pRF","Baseline shift indépendant stimulus, shift centres champs récepteurs vers localisation attendue, accentuation hiérarchique V1->LO","Validité interne élevée (contrôle), écologique modérée (labo)","Exploiter pré-cues spatiaux, mise en page prédictive, repères visuels pour orienter attention"
"Attention spatiale","Décodage attention spatiale et temporelle","Ben Hamed - Decoding Covert Visual Attention in Space and Time - Annual Review of Vision Science","2025","Revue de synthèse","Revue neurophysiologique + méthodes décodage temps réel","Neuroscience attention","Élevé (synthèse préfrontale)","Attention covert décodable temps réel depuis préfrontal; dynamique rythmique, suppression proactive/réactive, balance focus-flexibilité","Réseaux récurrents préfrontaux, saccades attentionnelles, rythmes attentionnels","Validité interne élevée, externe modérée","Potentiel interface neuro-adaptative: suivi attention en temps réel"
"Attention spatiale & temporelle","Routines spatio-temporelles","Pascucci & Kristjánsson - Spatiotemporal routines in visual perception - Nature Reviews Psychology","2026","Perspective","Perspective théorique + intégration vision/attention/mémoire/décision","Contextual / Prédictif","Modéré-Élevé (intégration multi-paradigmes)","Perception fondamentalement façonnée par contexte spatio-temporel; notion de routines spatio-temporelles","Intégration contexte spatial-temporel, principes computationnels partagés","Validité écologique élevée (contexte riche)","Passer de paradigmes isolés à designs riches en contexte spatio-temporel"
"Attention temporelle","Attention temporelle volontaire","Tian, Motzer & Denison - bioRxiv","2026","Prépublication","Expérimental psychophysique (compétition vs non-compétition)","Attention temporelle","Faible-Modéré (préprint non relu)","Attention temporelle volontaire améliore perception même sans compétition temporelle, donc facilitation précoce pas résolution conflit","Facilitation pré-compétitive, attentes temporelles volontaires","Validité interne modérée, externe à confirmer (préprint)","Structurer timing infos: signaux temporels, rythmes pour améliorer perception"
"Attention temporelle","Structures temporelles et attention","Nobre & van Ede - Anticipated moments: temporal structure in attention - Nature Reviews Neuroscience","2017/2024 update Denison 2024","Revue de synthèse","Revue conceptuelle + modèles computationnels","Attention temporelle / Predictive coding","Élevé (revue fondatrice + mise à jour)","4 types structures temporelles: associations indicées, taux de hasard, rythmes, séquences; attentes temporelles amplifient attentes spatiales","Attente temporelle, hazard rate, oscillation alpha/bêta, gain sensoriel, modèle normalisation dynamique","Validité interne élevée, externe élevée","Combiner indices temporels + spatiaux pour potentiation"
"Fluence de traitement","Fluence & métacognition","Alter & Oppenheimer - Uniting the Tribes of Fluency - Personality and Social Psychology Review","2009 (référence fondatrice) + Knight et al. 2025","Revue fondatrice + empirique crossmodal","Revue systématique + expérimental","Métacognitif / Jugement","Élevé pour revue, Modéré pour empirique récent","Fluence = expérience subjective de facilité traitement, agit comme indice métacognitif ubiquitaire influençant jugements vérité, confiance, liking","Fluence perceptive, conceptuelle, linguistique, mnésique, incarnée; attribution affective erronée","Validité interne élevée (multi-manipulations), externe élevée","Design fluide = évaluations positives; mais risque biais: fluence ≠ qualité; rendre disfluence utile pour pensée analytique"
"Fluence de traitement","Fluence & affect crossmodal","Knight, Flavell & Mattys - Attention, Perception & Psychophysics","2025","Article empirique","Expérimental crossmodal audio-visuel","Fluence affective","Modéré-Élevé (expérimental contrôlé)","Objets visuels avec stimuli auditifs fluides mieux évalués; transfert crossmodal persiste avec décalage, donc intégration pas simple regroupement","Transfert affectif crossmodal, intégration multisensorielle","Validité interne élevée, écologique modérée","Cohérence crossmodale: audio fluide + visuel = jugement positif; attention à cohérence son-interface"
